Comments	Pardis	Mina	Yasmin	Average	P_Deviation	M_Deviation	Y _Deviation	P_mislabeling	M_mislabeling	Y_mislabeling	Natalie	Labels	
However, it's a common theme: help yourself by helping others. Most people would say I do that TOO much. I will help others endlessly to the detriment of myself as I value anyone's progress above my own. I have given up things for myself to help a near stranger succeed above me. Especially at work, I often actively passed praise on to others or accepted blame that was not mine to save them. It's actually quite harmful if you think about it as it just helps fulfill a belief you have about yourself.	2	1	2	1.666666667	0.3333333333	0.6666666667	0.3333333333					1.666666667	
Helping others hasn't helped me. I still do it too, not like I've given up with that tact as it is ingrained in to my personality. But it doesn't make me feel better about myself, it doesn't make others think better of me (I'm almost invisible) and, despite continuing with quite altruistic actions, I firmly believe there is no justice - the good don't get rewarded and the bad don't get punished. I actually think being nice is BAD for me.	3	3	3	3	0	0	0					3	
In fact I believe the happy successful people in life are, by and large, the ones who don't dwell on the views of others either negative or positive and just take and use as they see fit to progress. That can be in a postive, go getter super confident way or it can be in a negative stab people in the back kind of way. However being focused on yourself and being selfish is by far the best way of succeeding in this world.	0	0	0	0	0	0	0					0	
I'm going to stop there. I think you've caught me on a bad day. I didn't realise it, but maybe I'm feeling worse today than I thought - I knew I was irritable and this message has just proved it!	4	2	2	2.666666667	1.333333333	0.6666666667	0.6666666667					2.666666667	
"Hi I think helping others is admirable and can help you learn about yourself and other people. But if carried to extremes can be a way of avoiding thinking about and dealing with your own problems. As you have said this doesn't work.	0	0	0	0	0	0	0					0	
Being nice is good but there are limits you need to impose. You need to spend some time being selfish and looking after yourself. It doesn't make you a not nice person but does mean you will get more of what you want to in life.	0	0	0	0	0	0	0					0	
In my experience most people will take advantage of nice people and can end up treating you like a doormat and are not grateful, often they are quite the reverse.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
Draw up limits to helping others and learn to say no. It will feel wrong to you but it is actually right for you. We all need to look after ourselves in life coz no one else is going to do it for you are they? Decide what you are willing to do and what you won't do. I would always help someone at work for example and have done but would draw the line at taking the blame for them or jeopardising your own career or happiness. Find the line and draw it. x	0	0	0	0	0	0	0					0	
"haha i guess it probably isn't exactly the healthiest of habbits, and basically everything you stated is true, but it works well enough for me i suppose. i hope you get to feeling better and i think that its very noble of you to take the actions that you do. I agree with both you and hypercat. I try to be kind to kind people and not so kind to not so kind people. a kind of physical karma i suppose. after all, if you dont take care of yourself then you cant take care of others.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
"Belief me live does not get better because someone chooses that life is not for them. You have said youself you have friends and family that care and love you..It,s not easy to sit here and say. I have felt like this on too many occasions, but because I have personally witnessed and experienced the aftermath 3x of such an action there is no way I would, or could do that to my loved ones. Please ask for help from the mental health team through your G.P. There is help out there. jx	4	4	4	4	0	0	0					4	
"I will caveat the following by saying I am currently not close to taking any 'action', although I'd be lying if I said it wasn't always in the background, like a craving it's sometimes stronger than other times...	3	3	0	2	1	1	2			INVALID	3	3	
Anyway, this might sound very messed up, and I even recognise this, but I know a part of my seclusion from the world is to avoid unnecessary pain for others through any decent human's response to loss. I'm not stupid enough to think people wouldn't care, I just think they shouldn't. I also feel that people are sad about a strangers death, you can't be sad about something you don't know though...	4	4	2	3.333333333	0.6666666667	0.6666666667	1.333333333					3.333333333	
My old friends know not where I am, haven't heard from me in years, and I will be nothing but a memory for them now. So if I were to 'disappear permanently' it wouldn't effect them. This has been part of my thinking. It genuinely means that all those thoughts that go through my head are tempered by evaluating how I could cause the least (zero) pain to those I know, or even strangers - I'd never do the train thing, I think that is selfish. There are ways without inflicting it upon others (which I won't go in to for any ideas for people who are closer than I am at the moment!)	4	4	4	4	0	0	0					4	
I tried the medical route after twenty years of dealing with it myself, that too didn't work. I try not to think about it at the moment, because every time I do, I feel there is no hope.	5	5	5	5	0	0	0					5	
I'm ok at the moment, the problem comes when work starts for my other half again and I'll be left thinking. Thinking is never good!	1	0	1	0.6666666667	0.3333333333	0.6666666667	0.3333333333					0.6666666667	
"Hi it's fine to keep suicide on the back burner so to speak. I have always done this when I managed to change my life and give myself a chance to make it how I wanted. The background thought is well I can always take the suicide option if I want can't I? The secret is to avoid it and put it off. I have put it off indefinitely and will never say never but I am 61 now and have made a good life for myself - enough that I have managed to avoid suicide for many years.	5	5	5	5	0	0	0					5	
Every so often I weight up my options and decide do I want to carry on or do I take the get out of jail card. Even if I decide on the latter I decide I won't do it that day but maybe tomorrow. Tomorrow comes and I go ok made it so far will think again about it tomorrow. Eventually it fades into the background again.	3	2	2	2.333333333	0.6666666667	0.3333333333	0.3333333333					2.333333333	
I find it very comforting to have that option as it gives me peace of mind and control over my own life. If life gets really bad and I do it ok I bought myself many years and now it's time.	2	1	2	1.666666667	0.3333333333	0.6666666667	0.3333333333					1.666666667	
You have got to give yourself chances first and explore everything and try everything else before you decide to give up. x	0	0	0	0	0	0	0					0	
"That,s really pleasing to hear..I know that just because people have thoughts regarding suicide, sometimes frequently I might add. This does not increase the risk. ..I can see the point of the seclusion bit, and wanting to push people away because the impact of whatever would be less severe.. Been there, done that, then realised how absurd that was. However I still refuse to go out and avoid people at all costs, so maybe not that absurd at all..jx	5	5	5	5	0	0	0					5	
"Is it absurd?! I say with a smile, but to me it is all so logical! I have this half-running joke that ""my logical is undeniable"" as in the quote from I-Robot where there is a robot who wants to stop humans from harming themselves by denying them all freedoms and choices. Really the logic is undeniable! If no-one knows me, and that group gets smaller every year, then inevitably eventually I will just be able to disappear without anyone being the wiser. No-one will know, no-one will care. I will acheived my goal of just fading rather than shocking anyone or forcing them to respond in a way, you'd hope, all humans respond to the loss of someone they know.	3	3	3	3	0	0	0					3	
If you lose time and time again at chess, and you hate the game as well, do you carry on playing?	0	0	0	0	0	0	0					0	
"Hope this does not insult you,,,but you are one of the most intelligent people that I have come across...admittedly I am. a hide behing the door kinda person lol..Seriously the little part that I know of you ( please dont be offended) reminds me so much of King George (as in the madness of King George) yet an up to date Stephen Fry.......Yes I do regarding the chess..Take care jx	0	0	0	0	0	0	0					0	
"Ha, no it doesn't insult me! You're wrong, but it doesn't insult me	0	0	0	0	0	0	0					0	
To be fair, I have not really had to work at intellectual things, they kind of just make sense or I research everything the nth degree until they do but I wouldn't class myself as clever! It seems impossible to do so when one can't even speak to someone without stumbling over words or stressing or completely losing all grip on what I meant to say!	2	2	0	1.333333333	0.6666666667	0.6666666667	1.333333333					1.333333333	
Although the madness part of King George I might be close to. Stephen Fry is an idol of mine, and someone I watch closely for obvious link in the field of mental health but if he's Premier League I'd barely count as a part time player!	2	2	2	2	0	0	0					2	
Thanks anyway :D	0	0	0	0	0	0	0					0	
"Damn I so wanted you to be like King George...I suppose I could settle for Stephen Fry....well I personally believe that you belong in the Premier League......I too Idolise Stephen Fry ..	0	0	0	0	0	0	0					0	
Pleased that no insult was taken....It,s ok I almost always get it wrong lol jx	0	0	0	0	0	0	0					0	
"Dear rsjg,	0	0	0	0	0	0	0					0	
Firstly I would just like to enquire after your relative health and whether you are still alive or not. Sorry if this sounds callous, but it is a mental health site after all and I have a terribly dark sense of humour!! I do so hope you are still alive, even though I realise you find this 'living stuff' all a bit pointless, which I can definitely relate to at this point in my life.	4	4	3	3.666666667	0.3333333333	0.3333333333	0.6666666667					3.666666667	
Anyway, my initial reason for contacting you, other than that I think you are a very thoughtful and articulate person, albeit one prone to depression and excessive rumination as I am, is that I am curious about your reasons for leaving the teaching profession. You see I have just had a terrible experience as a supply teacher in a British state high school, largely due to the execrable behaviour of this current generation of high school kids as well as the laughable 'discipline and support system' that currently operates in British high schools. I am from Australia originally, although I have taught English and Dance in various capacities in 5 countries now, but I have to say the behaviour I have seen in schools over here is the worst Ive seen ANYWHERE!!! Have you read 'You're wasting your own time'??? (Written by a British ex teacher). Because in my experience it's all true!!!!!!!!!!!!!!!!!	5	5	5	5	0	0	0					5	
Yes so my long winded point being I wondered if part of the reason you left teaching was because of the hideous behaviour of the students here? Certainly if that was at all a factor, I also just wanted to say I dont blame you and nor do at least half the British teaching profession who eventually end up leaving for another field!	0	0	0	0	0	0	0					0	
To finish my own rant here, I'm still recouperating after the shattering experience I have just gone through... still very disorientated, still weighing upmy options but ABSOLUTELY DEFINITELY NEVER SETTING FOOT INSIDE A MIXED ABILITY STATE HIGH SCHOOL EVER AGAIN!!! They're worse than farm animals if you ask me!!! And I'm not bothered if that sounds elitist. It's the sad truth! The system has fallen apart such that it now just molly coddles and panders to the dysfunctional whilst it penalises any hard working kids in the school AND the staff!	2	1	0	1	1	0	1					1	
Ok, that's it from me. Have thought about topping myself after 7 yrs of wasted tertiary education but hey, maybe I'll just go and do what every other failed unemployed graduate does...start driving a cab!	4	1	0	1.666666667	2.333333333	0.6666666667	1.666666667	INVALID			3	3	
This actually doesnt seem such a bad idea to me anymore. No more thuggish swearing brats to deal with, no more inept discipline procedures to endure, no OFSTED inspectors breathing down your neck,and no more stupid bureaucratic box ticking or paperwork to complete! It's a win win, as long as you can cope with the odd drunk babbling or toff twittering in your ear!	2	1	0	1	1	0	1					1	
Ahh well, such is this absurd thing we call life!	1	1	0	0.6666666667	0.3333333333	0.3333333333	0.6666666667					0.6666666667	
Hope you sort yours out whilst I'm stumbling around trying to find mine!	1	1	0	0.6666666667	0.3333333333	0.3333333333	0.6666666667					0.6666666667	
"Still alive, well a bit tired but still class as alive, just	3	2	1	2	1	0	1					2	
I'm going to have to be brutally to the point, in the nicest way I can, and with that I'll have to make some assumptions that I apologise for completely if I'm wrong - it's what you have to do when responding with limited information!	0	0	0	0	0	0	0					0	
First, you obviously are at a very low point but you indicate this seems to be entirely in response to your work experience. That doesn't mean you're not depressed, far from it, but it does give you a relatively easy target to focus on to improve your overall well-being. If you were happy in work do you think you would be happy (as much as anyone is as they seek more!) with your life? If the answer is yes, then you need to focus on how to make either teaching, or any other career, work for you and your head.	0	0	0	0	0	0	0					0	
Teaching. Man, I could rant too! However, I would temper that by saying every school is WILDLY different. Just because one is awful doesn't mean all are. Inner city in this country tends to be a lot harder to teach, where as suburbs and rural areas can tend to go the other way and have very unrealistic pushy parents. State school is not your enemy though. I have taught in a lot of schools and you wouldn't believe how they can change from one side of the road to the other. Staff make a far bigger impact than children. I like to believe all children are inherently pleasant and want to achieve, the only thing that lets them down can be parents/environment, poorly organised schools and... yes stupid government policies! But this is largely a chat for TES site - head there if you've not before and you'll get a lot better answers to teaching issues than I can provide. I also worked primary and, by and large, my issue was always with staff who still act like they are on the playground as they know no world different from education and still think the popular, loud, bully kids are the ones who run the joint! I am often secluded because I'm male. However, again, I also recognise that it is also a large part of me that struggles to deal with things rather than letting it not effect me - basically what I'm saying is I personally feel my character is not really strong enough to deal with one of the most demanding professions in the world - especially in this country. Most of the public would laugh at that statement but they don't realise the daily abuse, work, stresses, observations, impossible targets etc - it is the most mentally challenging job out there and when you go home you still have work to do, none of this leaving it at the office, still got to plan and mark and assess. I know (knew) police officers, nurses, labourers, lawyers who all turned to teaching for holidays and the view working with kids was fun (which it can be) but then all returned to their orignal jobs when they realised the mental strain it puts on you and those around you. No-one should say it's easy til you've tried it - there is no other profession in Britain where you can be watched working and assessed on a weekly basis.	2	1	2	1.666666667	0.3333333333	0.6666666667	0.3333333333					1.666666667	
But I try to tell me, and I'll tell you, that it doesn't make you a bad person if you can't cope in British schools. I wouldn't chastise a child for struggling in P.E. and it's the same thing, some of us are made to excel in some areas and underperform in others. If you think you are a good teacher elsewhere in the world (and on a side note all the people in this thread who are from x country but working on y country make me feel evern more useless - how cool and brave you all are!) then maybe it's a case of just finding the right school. If not, try something else I suppose. I am struggling to give you a good answer because this paragraph is one of my big daily mental battles.	5	5	4	4.666666667	0.3333333333	0.3333333333	0.6666666667					4.666666667	
Again, from what I read, I think you might find more help from TES website to reslove teaching issues, that may then feed in to your general mental wellbeing.	0	0	0	0	0	0	0					0	
Good luck	0	0	0	0	0	0	0					0	
"Hello again, and thank you for your detailed reply.	0	0	0	0	0	0	0					0	
Ahh yes, well to be more candid, my crappy experience at a state high school which was mishandled by my agency, the school involved and resulted in an unfair suspension, continues!! However I have now spoken to the senior LADO for the area and who was incredibly sympathetic and has given me avenues to clarify the situation. Hopefully my career wont now be completely blighted by an errant 13 old and his gormless friends. Unlike you, I don't see children as all sunshine and light I'm afraid. But that's my knack for realism.	2	0	0	0.6666666667	1.333333333	0.6666666667	0.6666666667					0.6666666667	
Thanks also for your tips regarding the TES. I am already familiar with them and dont think they can be of any additional help at the current time. At present in fact my lawyer and the surprisingly cooperative LADO are my best points of reference.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
I did however wish to point out that unfortunately NO my depressive tendencies are not confined to my dissatissfaction with the teaching profession altho it has to be said the recent situation has certainly tipped me over the edge. (Not that you could have known that so please dont think I have taken any offence by yr assumptions). No unfortunately added to my mix are some residual unresolved family issues, disgust at the racial discrimination I and so many other ethnic minority people have suffered in various industries growing up in western countries and beyond that the particularly soul crushing addition of being an ex ballet dancer who is probably in a state of career transition - even though she'd happily break her left leg to be back on the stage again!!! Haha. Yes truly, with all that on my plate it's enough to want to grab your dinner knife and end it all. So I of all people, with this amount of baggage to claim do understand how tiring this life is. Presently I feel I have no energy at all. Have tried so hard in this life to achieve something exceptional and to what end? It all just seems a fatuous waste of time. Anyway, I do hope you find something to inspire you to go ahead with your life but I do warn you, put to much heart and soul into it and it can be equally if not more devastaing. Seems to me a life sitting on a couch could be far more peaceful for most of us given what is out there!!!	5	5	5	5	0	0	0					5	
And so sorry, Im sure this hasnt helped you very much. I just thought It was important to share the fact that depressive apathy and directionlessness might not actually be quite as bad as seething resentment and bitter disappointment!!! I mean personally I think I'm kind of warming to this whole new lifstyle of utter zombie-dom. It sure beats the desire to go around nuking the negligent and detestable!!!	4	4	4	4	0	0	0					4	
Anyway all the best to you rsjg and anyone else out there who's troubled. It seems we all have our idiosyncratic crosses to bear. Sincerely hope we all get some respite soon, in whatever way is best for each of us!	1	1	1	1	0	0	0					1	
"I feel like I could easily spend hours and hours writing to you as regards your mindset and its direct correlation with teaching in particular, however it's probably not a suitable place and is arguably still too public.	0	0	0	0	0	0	0					0	
I recognise issues can tip you over the edge and it certainly sounds like you have plenty of reasons to not be happy at the moment. You have clarified that it wasn't just a bad experience but a career tthreatening one. So whilst my advice to speak to fellow teachers on TES may help with the more general issues, you sound like you're getting the right support and advice in dealing with the bigger picture. I can empathise, I had a similar issue with unions and cases etc (capability procedures against me which were eventually proven to be bullying from them) but I can say even after that experience I have found occasional good schools/ staff. I don't believe all children are lovely, I'm not stupid ha ha! But, and this might be more relevant in Primary, I still believe it is the staff that largely dictate the environment you work in, from direct interaction with you to how the kids respond to them, the routines and the expectations.	1	1	0	0.6666666667	0.3333333333	0.3333333333	0.6666666667					0.6666666667	
I can't empathise with any discrimination you feel you have had but I would say, as you probably well know, that general statements such as x industry or y people don't like me working there isn't fair as there are varying individuals in every part of life and some (hopefully a majority) would not discriminate at all. The closest I have felt to discrimination would be being a male in a very female dominated and being openly questioned and judged or secluded for that. But I would never suggest all teachers or education is like that, it's just unfortunate there are any.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
I recognise the want to give up. I really do. In fact, in short periods, I would argue it's a good thing to do. Especially in your circumstances, maybe a time out and a recharge is what you need before you make any decisions.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
I'll ignore you advice to not try to hard, I agree with it, but it's probably not very healthy! One slightly cheesy line I sometimes repeat to myself is ""how can you be happy if you've never been sad?"" You need to know there are peaks and troughs and the zombie, nothing effects you life won't help. I know I'm sad now, I know that I've been sad for ages but I just hope that means that I'll recognise and appreciate if and when I'm happy. If that makes any sense...!	3	3	3	3	0	0	0					3	
One final note, and apologies for any further assumptions, but you actually come across as quite the opposite from giving up. You sound like you have a lot of fight in you, anger and disappointment in the world and with that will inside you, you may find some form of talk therapy wouod help you greatly with every aspect that gets you down. Therapy doesn't work for me because I can't escape the blame I put on myself, the dislike I have for myself and my unwillingness to fight or talk through apathy. But you sound like you may benefit as you seem to show signs that you know you're good at things and have that desire to change the world!	5	5	4	4.666666667	0.3333333333	0.3333333333	0.6666666667					4.666666667	
Good luck with your next steps anyway	5	5	0	3.333333333	1.666666667	1.666666667	3.333333333			INVALID	1	1	
"I apologise for this post to be slighly off the run of the mill. I don,t really know why this needs to be mentioned, other than the fact that it had such a profound impact on me....(.As brief as poss)...2years ago I was daily visiting my Dad as he fought his cancer.( which I might add survived x2 ). Anyway it was on one of these such visits I came across the cancer unit specifically for teens. As I peered through the glass at them, all I could see was fun, laughter, lots of laughter it was almost infectious. In that brief moment a huge wave of guilt came over me...guilt for feeling so sorry for myself. The thought of losing my Dad, tearing away at me piece by piece. So many people fighting for each breath, a new day etc and yet they still found some form of enjoyment from the desperate situation that they were in..How dare I sit in this huge pile of self pity?, What right did I have contemplating my own demise?. A very humbling experience for me how could it not be for anyone?. This brief encounter completely put things into some form of order, order in my chaotic mind..I am not for one minute implying that wallowing in self pity is your style. Just thought I would share..Good Luck jx	2	2	1	1.666666667	0.3333333333	0.3333333333	0.6666666667					1.666666667	
"I'll be brief in my response as I recognise it is kind of unarguable!	0	0	0	0	0	0	0					0	
First great that your Dad survived twice and pleased that, whatever the trigger was exactly, that the process went someway to helping you form order in your mind.	0	0	0	0	0	0	0					0	
However, I touched on it previous messages to posters - you are a hundred percent correct in that perspective should mean that a majority of those with depression/ anxiety/ other mental health issues should find it easy to see how lucky they are. Unfortunately it doesn't work like that, otherwise no-one well off would suffer, no-one with great health would suffer. The mind understands but still can not process.	0	0	0	0	0	0	0					0	
I will not speak for others but as valid a comment as yours is about perspective, and one I have thought of a billion times before too (why can't I just be happy, people in 3rd world countries would love to be in my shoes), it doesn't work and worse still, can make my thought processes even worse as I beat myself up for being depressed when I have no right to. Further knocking my self-worth! Another words, when I think of your perfectly fair comment myself, I hate myself even more than I currently do.	5	5	5	5	0	0	0					5	
I have no reason to feel like this, a lot of people above me do - lost love, money issues, health issues, work issues, troubled past etc... so that just makes me even more pathetic, even more useless, even more disgusting a waste of space that I can't get... perspective.	4	4	4	4	0	0	0					4	
Please don't see this as me attacking you, I'm really not!! I'm glad it worked for you - my attack is at myself!!	2	2	1	1.666666667	0.3333333333	0.3333333333	0.6666666667					1.666666667	
"Please don,t continue to attack yourself over this. You are not pathetic or a waste of space, you are depressed. I can,t even imagine not knowing the reason why you feel the way you do, more difficult I can only guess .. Being able to express why xyz is happening makes those of us that feel depressed get some respite from the merry go round of looking for the answer.....Sometimes we don,t find the answer. I genuinely apologise to you, for causing you more distress and anguish as that was not my intention at all...Sorry rsjg ( and that was the brief version ) take care jx	2	1	1	1.333333333	0.6666666667	0.3333333333	0.3333333333					1.333333333	
"Please don't apologise - all me, none you! I must admit I half envy those that have a good reason to feel the way they do, but then again I don't envy the frustration at not being able to fix or forget the causes people recognise.	4	4	2	3.333333333	0.6666666667	0.6666666667	1.333333333					3.333333333	
Screw it, today I'm basically listening to Rachel Platten's 'Fight Song' on repeat at the highest possible volume in the hope it'll turn me 'off' for even just one day. I might be acting like a teenage girl but it's half working!	2	1	1	1.333333333	0.6666666667	0.3333333333	0.3333333333					1.333333333	
Starting right now I'll be strong...'	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
"Hi Rsjg,	0	0	0	0	0	0	0					0	
Sorry it's taken me so long to reply. Given your own experience of the British education system and its circumlocutory bureaucratic procedures, you can no doubt appreciate that I was up to my neck in red tape. So much so I could easily have hung myself several times over. Anyway I am here to report that fortunately I have not had to resort to that. The other main reason I stopped by was just to let you know that the allegation against me mounted by a child wanting to get a teacher into trouble, just because they could, HAS BEEN DROPPED! When the police sought a statement, the family and child ignored all queries. Multiple messages were left by the school and liaison officer which they didnt bother to respond to over a two month interval so it is all now pretty much done and dusted. I'm just waiting for the paperwork to come through which is a mere formality. In other words, NO FURTHER ACTION IS GOING TO BE TAKEN. I am deeply relieved and it is gratifying to know that at least sometimes the wrongly accused do get some justice in this world. Having said that, the whole ordeal has deeply shaken my faith in the state education system and certainly proven to me how vulnerable teachers are within it. So I think I may look at a new career or at least make a return to tutoring and or dance instruction. SO HOW DO I FEEL NOW MENTALLY? LIKE A WHOLE TRUCK LOAD HAS BEEN UNLOADED, THANK GOD!!! However it is early days of my new job seeking routine so no doubt that will throw up some significant hurdles. Furthermore the ""other stuff "" I need to sort out in my life/head and or fight for will take time, so yes I think a return to a therapist will be my next port of call.	5	5	3	4.333333333	0.6666666667	0.6666666667	1.333333333					4.333333333	
I read something from another of yr responders who said that a gifted athlete who suffered a chronic injury and was never quite able to get back to peak performance decided to top himself. ""Hmm"" I thought to myself, I can definitely relate. [Sorry if that sounds terribly egotistical]. I also read anout yr reaction to Robin Williams. Yes I found that very disturbing also. I think poor old Robin was at times plagued by his tendency for perfectionism and the need to better his best all the time. And let's face it, who can keep that up for a lifetime??? But as well as all his inner turmoil, I think he had a profound awareness of the unfairness and chaos of this life we all share. And I think all rolled up together, it all just got too pointless and or too painful for him to bare...Anyway that's my take on that. No bloody use to anyone quite probably, but thought I'd air those thoughts anyway.	1	0	0	0.3333333333	0.6666666667	0.3333333333	0.3333333333					0.3333333333	
As for you Rsjg. Glad to see you are still soldiering on. Really wish I could say something to you that would make you feel more inspired but I can't. Half the time I am so bewildered and despondent for various reasons that I understand those that dont bother with life far more than those who do. But I will say this, as pointless as this life may seem or perhaps is, IS NOT THE POINT!!! Perhaps the key is to make something of it despite how pointless it may be. Because if none of us bothered to do anything, ever, imagine what an even more vile, f%#ked up, world it would be!!!	4	4	3	3.666666667	0.3333333333	0.3333333333	0.6666666667					3.666666667	
Btw, I think you should seriously consider returning to writing in some capacity. It could be your means to survival.	0	0	0	0	0	0	0					0	
"All the Best. ; )	0	0	0	0	0	0	0					0	
"Glad your extreme work issue has been all but officially sorted. Forgetting anything else, that clearly was going to bring you down! Stress must be one of the main triggers for depression. One thing I would say is don't let one experience stop you doing something - if you enjoyed your job, fight to get back doing it but just a bit more wary/wise to situations than maybe you were before. Don't let one child stop you doing it. However, if it was jsut the final straw, then by all means re-evaluate!	0	0	0	0	0	0	0					0	
​Glad you're bebinning to see light at the end of the tunnel. Like I've said before, all you need is hope. Not perfection, not an easy life, not miracles, just a realistic hope that you can do what you want. Even if it doesn't come true. Things are over when there is no hope left.	0	0	0	0	0	0	0					0	
"Thanks again for your sound advice. Still weighing up whether mainstream teaching is really my thing to be honest given that I have also devoted a lifetime to the dance industry prior to this. Also REALLY enjoyed the four years I spent as an HSC/A-Levels English tutor. Perhaps some combination of these things will provide the balance I am seeking. Hmm, might well be time to tune into a bit of fate, or intuition or even The Almightly for some guidance on this matter.	0	0	0	0	0	0	0					0	
Ok that's it from me. Hope you find a way of returning to your writing and or other interests/skills that you find satisfying. Purpose is incredibly important. In fact I hope everyone here finds that for themselves eventually. Otherwise life is pretty unbearable in my opinion.	2	2	2	2	0	0	0					2	
Best of Luck!	0	0	0	0	0	0	0					0	
"I read this, and although not everything is same, I feel exactly the same as you do in some other places.	0	0	0	0	0	0	0					0	
I'm not a teacher - I haven't got qualifications to do anything skilled, I work in an office, stuck there for about 5 years desperately trying to get a new job but failing everytime. Most of the time I get feedbacks to them and the response is ""you were good, but we just went someone with more experience"" - this make me feel the way you described, that I'm useless or not good enough to do anything.	1	3	2	2	1	1	0					2	
I know on paper my life isn't bad, the job is decent pay, I have a mortgage on my own flat, I do have some other credit cards and loans to pay back but in 4 years time they will mostly be paid off. I don't feel like I have a good reason to feel this way, I just do and I can't help it. I used to enjoy my job but last few years has been hard, there are few reasons I could think but they are over now, and I don't know why I continue to feel this way.	3	3	3	3	0	0	0					3	
That I do too, quite frequently and in a strange way, (I don't know about you but I get comforted that if I wanted to end it, I can quite easily by just buying a rope.	3	3	2	2.666666667	0.3333333333	0.3333333333	0.6666666667					2.666666667	
Similar with me - though not always get in relationships with them but very close girl mates (who most people around me think we're i a relationship), and they drift away when their problem fades away and/or they get a boyfriend. But I know this is partly my fault because although I think I'm a good listener, I really don't know how to make an effort with people and know what to talk about.	1	1	1	1	0	0	0					1	
I noticed you are still on here, where is your life now and what is going on at the moment? Curious to see if there was something you did which really helped or would've done since posting this initially.	0	0	0	0	0	0	0					0	
"I always feel very hypocritical when I write a response on here. It's very much do as I say rather than I do.	0	0	0	0	0	0	0					0	
The first question I always say is ""what would make you happy?"" it's a very open question but if you can answer it then you've got an aim and you, with the helps of others, can at least work towards that aim and perhaps even enjoy the journey to some degree.	0	0	0	0	0	0	0					0	
If you can't answer that question then it becomes a hell of a lot more tricky and I doubt I'd be able to talk you through it on here! That's definitely a professional job.	0	0	0	0	0	0	0					0	
But starting with what you've written you give hints to problems, some which are still on going and other ones you perhaps aren't quite letting yourself forget even if they are in the past. That's perfectly normal, the trick is to get some form of closure to some degree I suppose. I often wish I had no memory!	1	1	1	1	0	0	0					1	
I do believe you can't say you've failed if you haven't tried because 'I can't/ won't be able to do it'. Not saying that's what you're saying, I just mean overall. I have tried everything people have 'advised' and still failed To be fair, maybe the mindset has guaranteed that, who knows. But to my point, say with work, what job would you want and is it achievable with extra qualifications - I know plenty of people who have returned to education in the later years, utilising after work classes and just working their backsides off to get where they want to be. This might not be applicable to you of course - the experience think is ridiculous catch 22 and the only way I know to get round it is either luck or, if your field of work is suitable, offering your services for free/doing the job with no extra pay until you can leave and take that experience with you - I have been 'acting' in management roles with all the responsibilities and no pay before just to add that to my CV. But this is more careers advice...	0	0	0	0	0	0	0					0	
Is wanting to die 'blamelessly' selfish? Yes. I can't see how it's not. But I understand and I wish that too. It's absolutely abhorent when you think about it - wishing to be ill when there are thousands of people who just want to be well. I wish I could swap with them but there is no getting away from the fact it's a selfish though. But, largely, isn't depression that? The complete focus on yourself and your inadequecies when you know you should be able to put it in to perspective? I've touched on this in posts before.	5	5	5	5	0	0	0					5	
Listening in itself is the key to being a good listener, I try to steer away from the very male response to want to fix everything - I've learnt that a lot of women (no sweeping generalisations meant) have preferred the listening element to anything I've had to say! Just an agreeing head, a sympathetic mind, and unjudgemental approach and it can be enough to make people feel better - they get it off their chest. I wouldn't worry too much about talking unless it's a real issue, if you can hold a conversation you're like 75% of the population and just not super chatty like others.	0	0	0	0	0	0	0					0	
I am still on here and I have broken a little bit with 'convention' in replying when I'm not really 'ready'. By that I mean I'm really not in a good place at all, I haven't been for a few weeks and have been trying to fight it but I can't. It feels like placing a plaster on an amputation at the moment and ever plan feels like a temporary solution to a permanent problem. I have been staying in bed for hours and hours on end just wanting to sleep, half to escape my head and half in the hope I just don't wake up!	4	4	4	4	0	0	0					4	
So sorry, no I haven't found anything that has helped me but as you correctly point out at the start - we're all different so what might work for one might not work for someone else. My initial impression is you have a vague idea how to reach happiness, you just need help planning the route. Me, I don't think there is that destination any more.	4	4	4	4	0	0	0					4	
